atleta_id,fbref_xG_jogo,fbref_xA_jogo
84094,0.0,0.0
84263,0.0,0.0
84266,,
84338,0.0,0.0
84339,,
84382,,
84428,0.0,0.0
84523,0.0,0.0
84558,0.015625,0.05
84587,,
84674,0.0,0.0
84735,0.16470588235294117,0.03529411764705882
84816,0.015789473684210527,0.03684210526315789
84817,,
84847,0.0,0.0
84918,,
84993,,
85004,0.0,0.0
85034,0.0,0.0
85048,0.0,0.0
85083,0.0,0.0
85166,,
85277,,
85315,0.0,0.0
85403,0.0,0.0
85423,,
85425,0.0,0.0
85465,0.0,0.0
85626,0.0,0.0
85856,0.05263157894736842,0.021052631578947368
85930,0.0,0.0
85931,0.0,0.0
85993,,
86029,0.0,0.0
86143,,
86227,,
86264,,
86292,0.03333333333333333,0.02
86388,,
86391,,
86410,0.0,0.0
86444,,
86485,0.0,0.0
86508,0.0,0.0
86536,0.0,0.0
86629,,
86675,0.0,0.0
86684,,
86686,0.0,0.0
86711,0.0,0.0
86713,,
86757,0.04,0.08666666666666667
86759,0.0,0.0
86764,,
86766,0.0,0.0
86777,0.0,0.0
86799,,
86820,0.0,0.0
86841,,
86859,0.0,0.0
86863,0.0,0.0
86864,,
86970,,
87008,0.0,0.0
87009,0.0,0.0
87098,,
87192,0.13333333333333333,0.011111111111111112
87211,,
87225,0.0,0.0
87228,0.0,0.0
87238,,
87242,,
87258,0.0,0.0
87262,,
87342,0.0,0.0
87391,,
87402,0.0,0.0
87470,0.0,0.0
87552,,
87603,,
87660,0.0,0.0
87691,,
87742,0.0,0.0
87747,0.0,0.0
87808,,
87838,0.0,0.0
87853,0.0,0.0
87863,0.3,0.228125
87887,0.0,0.0
87929,0.0,0.0
87999,0.0,0.0
88033,,
88037,,
88065,0.0,0.0
88087,0.0,0.0
88136,0.0,0.0
88225,,
88237,,
88312,0.0,0.0
88323,0.0,0.0
88368,0.0,0.0
88393,0.07777777777777778,0.03888888888888889
88406,,
88423,0.0,0.0
88427,0.0,0.0
88479,0.0,0.0
88540,0.0,0.0
88544,0.0,0.0
88597,0.0,0.0
88744,,
88857,,
88881,,
88916,,
88963,,
89048,0.0,0.0
89141,,
89150,0.0,0.0
89224,,
89226,,
89256,0.07777777777777778,0.17777777777777778
89273,0.0,0.0
89274,0.0,0.0
89275,0.024999999999999998,0.16785714285714287
89284,,
89285,,
89368,0.0,0.0
89435,,
89467,0.0,0.0
89493,0.0,0.0
89637,0.0,0.0
89646,,
89668,,
89695,,
89696,,
89837,0.0,0.0
89840,0.0,0.0
89846,0.0,0.0
89883,0.0,0.0
89898,,
89900,,
89918,,
90012,,
90031,0.0,0.0
90061,0.0,0.0
90120,,
90232,,
90285,0.22258064516129034,0.03870967741935484
90290,0.0,0.0
90302,,
90303,0.0,0.0
90307,0.16666666666666666,0.013333333333333334
90309,0.0,0.0
90370,0.0,0.0
90444,0.0,0.0
90449,0.0,0.0
90532,0.0,0.0
90540,,
90569,,
90588,0.0,0.0
90590,,
90608,0.0,0.0
90634,,
90703,0.1576923076923077,0.07307692307692307
90715,,
90768,0.041935483870967745,0.01935483870967742
90846,,
90917,0.0,0.0
90943,0.092,0.012
90947,0.0,0.0
91101,0.0,0.0
91130,0.0,0.0
91151,0.05,0.11153846153846153
91158,0.0,0.0
91190,0.010526315789473684,0.021052631578947368
91203,0.0,0.0
91242,,
91254,0.0,0.0
91260,,
91274,,
91422,0.0,0.0
91473,0.01875,0.05
91509,0.0,0.0
91521,,
91573,0.0,0.0
91607,0.0,0.0
91627,,
91639,0.0,0.0
91664,0.0,0.0
91688,,
91689,,
91706,0.0,0.0
91708,0.0,0.0
91712,,
91733,0.0,0.0
91772,0.0,0.0
91808,0.0,0.0
91815,0.0,0.0
91856,,
91866,0.0,0.0
91888,,
91908,0.0,0.0
91970,,
91971,,
92075,0.0,0.0
92085,0.0,0.0
92087,0.0,0.0
92146,,
92149,0.0,0.0
92171,0.0,0.0
92180,,
92182,0.0,0.0
92207,0.0,0.0
92237,0.0,0.0
92273,,
92291,,
92440,0.0,0.0
92496,0.0,0.0
92696,0.27037037037037037,0.037037037037037035
92702,,
92708,0.0,0.0
92811,,
92854,0.0,0.0
92855,0.103125,0.14375
92981,0.0,0.0
93014,,
93108,,
93166,,
93236,0.0,0.0
93317,,
93368,,
93372,0.0,0.0
93411,0.175,0.1875
93414,,
93478,0.08148148148148149,0.1037037037037037
93550,,
93637,0.0,0.0
93646,,
93702,,
93716,0.0,0.0
93787,,
93790,0.0,0.0
93791,,
93797,,
93834,0.0,0.0
93879,0.0,0.0
93882,0.0,0.0
93886,0.0,0.0
93988,0.0,0.0
94007,,
94044,0.0,0.0
94067,0.0,0.0
94138,,
94154,0.0,0.0
94156,0.0,0.0
94207,0.0,0.0
94263,,
94444,0.0,0.0
94509,0.0,0.0
94514,0.0,0.0
94583,0.4095238095238095,0.10476190476190476
94786,,
94787,0.0,0.0
94836,,
94845,0.0,0.0
94853,,
94894,0.0,0.0
94916,,
94931,0.0,0.0
94968,0.0,0.0
95058,0.0,0.0
95106,0.0,0.0
95127,0.0,0.0
95131,0.0,0.0
95220,,
95332,,
95352,,
95354,0.0,0.0
95357,0.0,0.0
95464,0.0,0.0
95466,0.0,0.0
95555,,
95556,0.0,0.0
95638,0.0,0.0
95662,0.0,0.0
95738,,
95780,,
95794,0.0,0.0
95799,0.0,0.0
95878,,
95936,0.0,0.0
96089,0.0,0.0
96340,0.0,0.0
96342,0.0,0.0
96353,0.0,0.0
96468,0.0,0.0
96610,0.13125,0.221875
96614,,
96652,0.015384615384615385,0.007692307692307693
96673,,
96678,0.0,0.0
96684,0.0,0.0
96725,0.0,0.0
96754,0.0,0.0
96793,0.024999999999999998,0.0
96831,0.25,0.0
96870,0.04,0.08666666666666667
96966,,
97062,,
97080,,
97095,0.0,0.0
97133,,
97145,0.0,0.0
97173,0.0,0.0
97245,,
97317,,
97321,0.0,0.0
97339,0.0,0.0
97341,0.0,0.0
97448,,
97450,0.04,0.11000000000000001
97453,,
97460,0.0,0.0
97466,,
97468,0.0,0.0
97520,0.0,0.0
97522,0.047058823529411764,0.0058823529411764705
97537,0.0,0.0
97547,0.0,0.0
