Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
MIR,MEI,Neto Moura,0,25,3.33,4.28,0.0,0.09,0.19,0,1,1
CAM,LAT,Guilherme Arana,0,17,3.87,4.34,0.0,0.12,0.11,1,0,1
VAS,ZAG,Carlos Cuesta,0,9,3.72,5.1,0.0,0.02,0.14,0,1,1
Clube 292,LAT,Matheus Alexandre,0,21,3.88,4.55,0.0,0.1,0.1,1,0,1
RBB,MEI,Gabriel,0,27,2.85,3.27,0.0,0.1,0.19,0,1,1
VAS,ZAG,João Victor,0,12,3.54,4.45,0.0,0.08,0.2,0,1,1
CAM,MEI,Alexsander,0,10,5.18,5.18,0.0,0.13,0.31,0,1,1
Clube 292,LAT,Hereda,0,10,4.79,5.33,0.0,0.28,0.3,1,0,1
Clube 356,ATA,Moisés,0,8,1.68,2.1,0.0,0.15,0.08,1,0,1
BOT,MEI,Newton,0,13,2.12,4.45,0.0,0.05,0.18,0,1,1
VAS,MEI,Tchê Tchê,0,23,1.56,2.08,0.0,0.17,0.32,0,1,1
BAH,MEI,Acevedo,0,25,3.86,4.64,0.0,0.13,0.15,1,0,1
GRE,ZAG,Wagner Leonardo,0,21,3.2,4.14,0.0,0.08,0.05,1,0,1
CRU,ATA,Bolasie,0,9,0.5,1.14,0.0,0.16,0.07,1,0,1
Clube 286,MEI,Caíque,0,22,2.33,2.85,0.0,0.2,0.23,1,0,1
FLA,MEI,Saúl,0,14,3.71,4.15,0.0,0.11,0.09,1,0,1
FLA,LAT,Ayrton Lucas,0,14,4.46,5.11,0.0,0.11,0.24,0,1,1
COR,ATA,Héctor Hernández,0,5,2.18,3.98,0.0,0.06,0.31,0,1,1
VIT,ZAG,Zé Marcos,0,18,2.68,4.21,0.0,0.09,0.19,0,1,1
COR,MEI,Charles,0,8,1.76,4.45,0.0,0.05,0.2,0,1,1
RBB,MEI,Matheus Fernandes,0,14,2.15,2.85,0.0,0.03,0.13,0,1,1
SAN,MEI,Diego Pituca,0,7,1.53,2.31,0.0,0.1,0.31,0,1,1
SAN,ZAG,Zé Ivaldo,0,17,4.13,5.05,0.0,0.09,0.22,0,1,1
RBB,LAT,Juninho Capixaba,0,21,6.02,6.02,0.0,0.19,0.36,0,1,1
Clube 356,MEI,Lucas Crispim,0,7,2.51,2.51,0.0,0.14,0.36,0,1,1
Clube 354,MEI,Vina,0,8,1.49,3.16,0.0,0.19,0.14,1,0,1
VAS,MEI,Barros,0,14,3.25,3.93,0.0,0.18,0.35,0,1,1
Clube 292,LAT,Igor Cariús,0,24,4.26,4.44,0.0,0.1,0.21,0,1,1
FLA,MEI,Erick Pulgar,0,11,2.07,3.0,0.0,0.08,0.22,0,1,1
Clube 356,ZAG,Kuscevic,0,16,3.69,4.22,0.0,0.02,0.1,0,1,1
Clube 286,ZAG,Luan Freitas,0,12,4.1,4.47,0.0,0.11,0.05,1,0,1
PAL,ZAG,Murilo,0,14,4.01,4.76,0.0,0.03,0.13,0,1,1
Clube 354,ATA,Fernandinho,0,19,2.98,3.15,0.0,0.16,0.18,1,0,1
BAH,LAT,Iago,0,8,2.92,5.03,0.0,0.04,0.19,0,1,1
Clube 354,LAT,Matheus Bahia,0,24,4.4,4.79,0.0,0.17,0.2,1,0,1
BAH,MEI,Erick,0,12,2.52,3.17,0.0,0.04,0.16,0,1,1
BAH,GOL,Ronaldo,0,24,4.9,5.35,0.0,0.07,0.04,1,0,1
Clube 286,ATA,Rafael Bilu,0,12,2.25,2.46,0.0,0.18,0.35,0,1,1
Clube 286,LAT,Ewerthon,0,13,3.24,4.52,0.0,0.08,0.23,0,1,1
INT,MEI,Alan Rodríguez,0,13,3.25,3.75,0.0,0.16,0.14,1,0,1
BAH,MEI,Caio Alexandre,0,17,1.97,2.51,0.0,0.24,0.28,1,0,1
CAM,MEI,Rubens,0,13,6.26,6.26,0.0,0.08,0.23,0,1,1
VIT,ATA,Renzo López,0,15,1.68,2.45,0.0,0.11,0.26,0,1,1
SAO,MEI,Matheus Alves,0,5,2.43,3.46,0.0,0.3,0.18,1,0,1
PAL,ZAG,Micael,0,10,3.57,4.4,0.0,0.12,0.03,1,0,1
BOT,ATA,Matheus Martins,0,11,2.58,3.13,0.0,0.13,0.3,0,1,1
Clube 356,LAT,Tinga,0,11,3.87,3.87,0.0,0.04,0.16,0,1,1
SAN,ZAG,Adonis Frías,0,11,4.38,4.8,0.0,0.05,0.18,0,1,1
VIT,MEI,Willian Oliveira,0,14,2.58,3.73,0.0,0.1,0.25,0,1,1
MIR,ZAG,Jemmes,0,32,4.54,4.85,0.0,0.03,0.09,0,1,1
COR,ZAG,João Pedro,0,14,3.66,4.24,0.0,0.11,0.06,1,0,1
SAO,MEI,Alisson,0,24,1.6,2.1,0.0,0.17,0.2,1,0,1
SAO,LAT,Wendell,0,13,4.99,5.75,0.0,0.2,0.2,1,0,1
BAH,LAT,Gilberto,0,18,4.42,5.16,0.0,0.07,0.17,0,1,1
Clube 286,ZAG,Abner,0,10,2.16,3.84,0.0,0.15,0.08,1,0,1
SAN,ATA,Deivid Washington,0,13,1.7,2.22,0.0,0.12,0.27,0,1,1
RBB,ZAG,Guzmán Rodríguez,0,20,2.72,3.18,0.0,0.06,0.15,0,1,1
Clube 292,MEI,Hyoran,0,7,1.65,2.63,0.0,0.24,0.18,1,0,1
Clube 292,ZAG,Ramon Menezes,0,20,2.8,3.01,0.0,0.05,0.14,0,1,1
RBB,LAT,Andrés Hurtado,0,19,3.52,5.05,0.0,0.04,0.13,0,1,1
CAM,LAT,Natanael,0,28,5.18,5.55,0.0,0.08,0.17,0,1,1
INT,LAT,Aguirre,0,28,4.6,4.93,0.0,0.01,0.08,0,1,1
GRE,ZAG,Jemerson,0,6,3.2,5.28,0.0,0.05,0.25,0,1,1
Clube 354,ZAG,Marcos Victor,0,14,4.2,4.5,0.0,0.12,0.09,1,0,1
Clube 354,MEI,Fernando Sobral,0,22,1.64,2.26,0.0,0.08,0.18,0,1,1
PAL,MEI,Emiliano Martínez,0,18,2.66,3.62,0.0,0.05,0.14,0,1,1
Clube 356,MEI,Pierre,0,9,1.84,2.04,0.0,0.08,0.13,0,0,0
VIT,GOL,Thiago Couto,0,6,7.2,8.57,0.0,0.0,0.0,0,0,0
CAM,TEC,Jorge Sampaoli,0,11,4.16,6.06,0.0,0.0,0.0,0,0,0
CRU,LAT,Kauã Prates,0,8,3.59,3.59,0.0,0.01,0.02,0,0,0
INT,ATA,Lucca,0,5,1.22,1.22,0.0,0.14,0.22,0,0,0
VAS,ATA,Matheus França,0,10,1.12,1.66,0.0,0.03,0.06,0,0,0
SAN,MEI,Willian Arão,0,10,2.0,2.43,0.0,0.1,0.16,0,0,0
PAL,GOL,Carlos Miguel,0,5,8.52,10.56,0.0,0.04,0.06,0,0,0
FLU,LAT,Gabriel Fuentes,0,9,3.22,4.09,0.0,0.04,0.07,0,0,0
SAO,ZAG,Rafael Tolói,0,5,5.13,7.18,0.0,0.04,0.06,0,0,0
