Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Micael,br BRA,DF,25-107,,15,1295.0,14.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.2,0.4,10.0,42.0,3.0,0.0,0.07,0.07,0.0,0.07,0.02,0.01,0.03,0.02,0.03,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,16.0,Palmeiras
Lucas Evangelista,br BRA,MF,30-205,,12,1046.0,11.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.7,11.0,57.0,26.0,0.17,0.09,0.26,0.17,0.26,0.1,0.05,0.15,0.1,0.15,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,19.0,Palmeiras
Raphael Veiga,br BRA,MF,30-161,,12,1022.0,11.4,2.0,4.0,6.0,1.0,1.0,1.0,2.0,0.0,2.2,1.4,3.0,4.4,13.0,68.0,44.0,0.18,0.35,0.53,0.09,0.44,0.19,0.26,0.45,0.12,0.38,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,24.0,Palmeiras
Khellven,br BRA,DF,24-275,,11,885.0,9.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.2,7.0,24.0,44.0,0.0,0.2,0.2,0.0,0.2,0.01,0.12,0.13,0.01,0.13,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,12.0,Palmeiras
Andreas Pereira,br BRA,"MF,FW",29-330,,10,915.0,10.2,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.8,0.8,1.2,2.0,8.0,62.0,17.0,0.2,0.0,0.2,0.2,0.2,0.07,0.12,0.2,0.07,0.2,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,14.0,Palmeiras
Richard Ríos,co COL,MF,25-178,,10,733.0,8.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.7,1.3,13.0,34.0,24.0,0.0,0.25,0.25,0.0,0.25,0.07,0.09,0.16,0.07,0.16,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,10.0,Palmeiras
Estêvão Willian,br BRA,"MF,FW",18-217,,9,831.0,9.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.2,1.1,2.0,3.1,48.0,34.0,93.0,0.0,0.32,0.32,0.0,0.32,0.13,0.22,0.35,0.12,0.34,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,11.0,Palmeiras
Carlos Miguel,br BRA,GK,27-049,,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,8.0,Palmeiras
Allan,br BRA,"MF,FW",21-222,,7,853.0,9.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.3,1.3,0.9,2.2,25.0,22.0,58.0,0.11,0.32,0.42,0.11,0.42,0.14,0.09,0.23,0.14,0.23,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,26.0,Palmeiras
Jefté,br BRA,"DF,MF",21-341,,6,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,12.0,28.0,48.0,0.0,0.14,0.14,0.0,0.14,0.03,0.07,0.09,0.03,0.09,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,10.0,Palmeiras
Ramón Sosa,py PAR,"FW,MF",26-088,,5,741.0,8.2,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,1.5,3.4,31.0,44.0,98.0,0.24,0.36,0.61,0.24,0.61,0.23,0.18,0.41,0.23,0.41,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,21.0,Palmeiras
Bruno Nascimento,br BRA,FW,28-265,,4,323.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.2,7.0,8.0,29.0,0.56,0.0,0.56,0.56,0.56,0.2,0.12,0.33,0.2,0.33,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,9.0,Palmeiras
Luis Benedetti,br BRA,DF,19-173,,3,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,0.0,9.0,0.0,0.33,0.0,0.33,0.33,0.33,0.26,0.01,0.27,0.26,0.27,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,3.0,Palmeiras
Mayke,br BRA,DF,33-017,,3,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,6.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,3.0,Palmeiras
Vanderlan,br BRA,DF,23-081,,3,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,3.0,Palmeiras
Luighi,br BRA,FW,19-211,,2,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.5,1.7,10.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.33,0.15,0.48,0.33,0.48,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,9.0,Palmeiras
Marcelo Lomba,br BRA,GK,38-344,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,2.0,Palmeiras
Paulinho,br BRA,"MF,FW",25-135,,1,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.6,6.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.09,0.15,0.24,0.09,0.24,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,7.0,Palmeiras
