atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
108469,Adonis Frías,Santos,277,Zagueiro,3,Provável,5.0,6.66,-0.47,4.38,12,Cruzeiro,283,1,4.38,4,3,3.2415274177461466,0.11219512195121949,0.6576576576576576
109401,Erick Pulga,Bahia,265,Atacante,5,Provável,0.5,8.58,-1.3,5.64,24,Fluminense,266,-1,5.64,2,2,4.440033783655255,0.2520296900448832,0.6573426573426573
108713,Galeano,Ceará,354,Atacante,5,Provável,1.5,6.27,-0.21,4.63,35,Palmeiras,275,1,4.63,5,5,3.710505186560962,0.42358977558054306,0.7384370015948963
110506,Abel Ferreira,Palmeiras,275,Técnico,6,Provável,6.97,12.46,-0.13,6.86,33,Ceará,354,-1,6.86,2,2,3.2087444201606035,0.30217869340777587,0.550561797752809
110510,Aguirre,Internacional,285,Lateral,2,Provável,10.4,8.58,0.71,4.6,30,Bragantino,280,1,4.6,3,3,3.552269794040871,0.19089368797568781,0.5361305361305361
110426,Bernabéi,Internacional,285,Lateral,2,Provável,6.8,12.45,0.39,5.48,29,Bragantino,280,1,5.48,3,3,3.555315870068452,0.19089368797568781,0.4401606425702812
109573,Martinelli,Fluminense,266,Meia,4,Provável,2.4,6.16,0.3,2.7,31,Bahia,265,1,2.7,3,4,3.2475102125544053,0.20335442801904738,0.4383116883116883
110750,Gustavo Marques,Bragantino,280,Zagueiro,3,Provável,2.7,4.1,-0.03,1.89,11,Internacional,285,-1,1.89,4,3,1.7346207340249022,0.24997982949197217,0.4609756097560976
110311,José Martínez,Corinthians,264,Meia,4,Provável,8.9,4.57,1.27,1.89,24,Juventude,286,1,1.89,2,2,3.073012495435294,0.5862260807264457,0.4135667396061269
111309,Gustavo Martins,Grêmio,284,Zagueiro,3,Provável,12.4,9.37,1.43,4.58,17,Sport,292,-1,4.58,2,2,3.839031357609089,0.33,0.48879402347918893
111246,Alix Vinicius,Bragantino,280,Zagueiro,3,Provável,3.2,3.26,-0.23,1.7,8,Internacional,285,-1,1.7,4,3,2.4588034255943043,0.24997982949197217,0.5214723926380368
111407,Luis Mandaca,Juventude,286,Meia,4,Provável,1.0,6.53,-0.06,4.24,30,Corinthians,264,-1,4.24,3,2,2.725958652421684,0.2464292402009341,0.6493108728943339
112616,Gabriel Grando,Grêmio,284,Goleiro,1,Provável,8.9,8.69,0.91,6.17,6,Sport,292,-1,6.17,2,2,4.074660371473571,0.33,0.710011507479862
111832,Jefté,Palmeiras,275,Lateral,2,Provável,5.0,6.92,-0.26,4.14,7,Ceará,354,-1,4.14,2,2,3.2832185138250862,0.30217869340777587,0.5982658959537572
112863,Ramón Sosa,Palmeiras,275,Atacante,5,Provável,11.0,7.13,1.52,2.8,21,Ceará,354,-1,2.8,2,2,4.248047170395447,0.30217869340777587,0.39270687237026647
113034,Freytes,Fluminense,266,Zagueiro,3,Provável,5.0,4.99,0.65,3.14,31,Bahia,265,1,3.14,3,4,2.6056184125516064,0.20335442801904738,0.6292585170340681
112869,Aníbal Moreno,Palmeiras,275,Meia,4,Provável,1.5,4.79,-0.16,2.83,25,Ceará,354,-1,2.83,2,2,2.1087120871912948,0.30217869340777587,0.5908141962421712
112886,Lucas Barbosa,Bragantino,280,Atacante,5,Provável,2.9,8.04,-0.23,4.85,31,Internacional,285,-1,4.85,4,3,4.1327696459198595,0.24997982949197217,0.6032338308457712
113078,Mancuso,Fortaleza,356,Lateral,2,Provável,0.9,7.32,-0.82,4.38,25,Botafogo,263,-1,4.38,5,4,3.795997892517856,0.2520107238605898,0.5983606557377049
113157,Nathan Mendes,Bragantino,280,Lateral,2,Provável,3.8,4.73,0.5,2.32,17,Internacional,285,-1,2.32,4,3,2.003049146264999,0.24997982949197217,0.49048625792811834
113103,Flaco López,Palmeiras,275,Atacante,5,Provável,10.4,11.07,0.83,6.8,30,Ceará,354,-1,6.8,2,2,5.8987978514231205,0.30217869340777587,0.6142728093947606
115141,Lucas Freitas,Vasco,267,Zagueiro,3,Provável,1.2,3.99,-0.13,2.14,18,Atlético-MG,282,-1,2.14,3,4,3.1745773224904426,0.23652435862613894,0.5363408521303258
115100,Matheus França,Vasco,267,Atacante,5,Provável,0.8,4.76,0.01,1.13,14,Atlético-MG,282,-1,1.13,3,4,1.1423178672725514,0.23652435862613894,0.23739495798319327
115248,Jhon Jhon,Bragantino,280,Meia,4,Provável,9.2,9.08,0.65,5.62,31,Internacional,285,-1,5.62,4,3,3.9253628008477848,0.24997982949197217,0.6189427312775331
115537,Marcos Victor,Ceará,354,Zagueiro,3,Provável,4.7,6.34,0.61,4.21,15,Palmeiras,275,1,4.21,5,5,2.550630174234259,0.42358977558054306,0.6640378548895899
116589,Lucas Gazal,Fortaleza,356,Zagueiro,3,Provável,0.0,4.19,-0.76,2.56,5,Botafogo,263,-1,2.56,5,4,2.0206434618705003,0.2520107238605898,0.6109785202863961
118752,Mateus Carvalho,Vasco,267,Meia,4,Provável,2.0,3.17,0.21,0.82,18,Atlético-MG,282,-1,0.82,3,4,1.5657694552289951,0.23652435862613894,0.2586750788643533
121823,Kauê,Corinthians,264,Goleiro,1,Provável,2.9,2.01,1.01,2.9,1,Juventude,286,1,2.9,2,2,2.0,0.5862260807264457,1.4427860696517414
121824,Kayke,Corinthians,264,Atacante,5,Provável,6.2,2.66,1.15,1.68,8,Juventude,286,1,1.68,2,2,2.3885141824992373,0.5862260807264457,0.631578947368421
122394,Gustavinho,Bragantino,280,Meia,4,Provável,4.5,3.15,0.21,1.62,14,Internacional,285,-1,1.62,4,3,1.7823308606157546,0.24997982949197217,0.5142857142857143
122660,Japa,Cruzeiro,283,Meia,4,Provável,2.7,2.34,0.36,0.72,5,Santos,277,-1,0.72,3,3,1.364551208273255,0.2048780487804878,0.3076923076923077
123744,Alan Rodríguez,Internacional,285,Meia,4,Provável,1.1,5.59,-0.53,3.26,15,Bragantino,280,1,3.26,3,3,2.5692874683923743,0.19089368797568781,0.5831842576028622
124369,Léo Aragão,Cruzeiro,283,Goleiro,1,Provável,3.7,6.25,-0.63,5.97,4,Santos,277,-1,5.97,3,3,4.024404717884788,0.2048780487804878,0.9551999999999999
124526,Giay,Palmeiras,275,Lateral,2,Provável,0.4,8.27,-0.91,5.0,26,Ceará,354,-1,5.0,2,2,3.0531194640135624,0.30217869340777587,0.6045949214026602
125488,João Pedro,Corinthians,264,Zagueiro,3,Provável,0.2,5.28,-0.28,3.65,16,Juventude,286,1,3.65,2,2,3.2110161942911466,0.5862260807264457,0.6912878787878788
124912,Jonathan Jesus,Cruzeiro,283,Zagueiro,3,Provável,0.6,4.2,-0.32,2.55,13,Santos,277,-1,2.55,3,3,3.0192544503399237,0.2048780487804878,0.6071428571428571
126182,Paulinho,Vasco,267,Meia,4,Provável,2.9,4.27,0.29,0.77,10,Atlético-MG,282,-1,0.77,3,4,1.8392027258208017,0.23652435862613894,0.18032786885245905
126471,Barreal,Santos,277,Meia,4,Provável,6.0,10.33,0.32,5.93,33,Cruzeiro,283,1,5.93,4,3,5.137370510054317,0.11219512195121949,0.57405614714424
130811,Souza,Santos,277,Lateral,2,Provável,9.7,8.46,0.65,4.67,23,Cruzeiro,283,1,4.67,4,3,4.374598795833274,0.11219512195121949,0.5520094562647754
