atleta_id,rodada_real,apelido,posicao,rodada_x,preco_num,rodada_y,media_acumulada,media_previa,perfil
98225,2,Pedro Raul,Atacante,2,6.43,2,4.1499999999999995,4.1499999999999995,Inesperado
98225,2,Pedro Raul,Atacante,2,0.0,2,3.033333333333333,3.033333333333333,Inesperado
98225,2,Pedro Raul,Atacante,2,0.0,2,2.275,2.275,Inesperado
98225,2,Pedro Raul,Atacante,2,0.0,2,3.2,3.2,Inesperado
98225,2,Pedro Raul,Atacante,2,0.0,2,4.1499999999999995,4.1499999999999995,Inesperado
105811,2,Wesley,Atacante,2,3.0,2,1.6666666666666667,1.6666666666666667,Inesperado
105811,2,Wesley,Atacante,2,3.0,2,1.25,1.25,Inesperado
105811,2,Wesley,Atacante,2,3.0,2,0.9400000000000001,0.9400000000000001,Inesperado
105811,2,Wesley,Atacante,2,3.0,2,0.7833333333333333,0.7833333333333333,Inesperado
105811,2,Wesley,Atacante,2,4.65,2,1.6666666666666667,1.6666666666666667,Inesperado
105811,2,Wesley,Atacante,2,4.65,2,1.25,1.25,Inesperado
105811,2,Wesley,Atacante,2,4.65,2,0.9400000000000001,0.9400000000000001,Inesperado
105811,2,Wesley,Atacante,2,4.65,2,0.7833333333333333,0.7833333333333333,Inesperado
105811,2,Wesley,Atacante,2,4.77,2,1.6666666666666667,1.6666666666666667,Inesperado
105811,2,Wesley,Atacante,2,4.77,2,1.25,1.25,Inesperado
105811,2,Wesley,Atacante,2,4.77,2,0.9400000000000001,0.9400000000000001,Inesperado
105811,2,Wesley,Atacante,2,4.77,2,0.7833333333333333,0.7833333333333333,Inesperado
105811,2,Wesley,Atacante,2,0.0,2,1.6666666666666667,1.6666666666666667,Inesperado
105811,2,Wesley,Atacante,2,0.0,2,1.25,1.25,Inesperado
105811,2,Wesley,Atacante,2,0.0,2,0.9400000000000001,0.9400000000000001,Inesperado
105811,2,Wesley,Atacante,2,0.0,2,0.7833333333333333,0.7833333333333333,Inesperado
79437,2,Roger Machado,Técnico,2,10.37,2,2.9000000000000004,2.9000000000000004,Intermediario
79437,2,Roger Machado,Técnico,2,10.37,2,3.72,3.72,Intermediario
79437,2,Roger Machado,Técnico,2,10.37,2,3.7016666666666667,3.7016666666666667,Intermediario
79437,2,Roger Machado,Técnico,2,10.37,2,4.011428571428572,4.011428571428572,Intermediario
79437,2,Roger Machado,Técnico,2,9.18,2,2.9000000000000004,2.9000000000000004,Intermediario
79437,2,Roger Machado,Técnico,2,9.18,2,3.72,3.72,Intermediario
79437,2,Roger Machado,Técnico,2,9.18,2,3.7016666666666667,3.7016666666666667,Intermediario
79437,2,Roger Machado,Técnico,2,9.18,2,4.011428571428572,4.011428571428572,Intermediario
79437,2,Roger Machado,Técnico,2,7.78,2,2.9000000000000004,2.9000000000000004,Inesperado
79437,2,Roger Machado,Técnico,2,7.78,2,3.72,3.72,Inesperado
79437,2,Roger Machado,Técnico,2,7.78,2,3.7016666666666667,3.7016666666666667,Inesperado
79437,2,Roger Machado,Técnico,2,7.78,2,4.011428571428572,4.011428571428572,Inesperado
79437,2,Roger Machado,Técnico,2,0.0,2,2.9000000000000004,2.9000000000000004,Inesperado
79437,2,Roger Machado,Técnico,2,0.0,2,3.72,3.72,Inesperado
79437,2,Roger Machado,Técnico,2,0.0,2,3.7016666666666667,3.7016666666666667,Inesperado
79437,2,Roger Machado,Técnico,2,0.0,2,4.011428571428572,4.011428571428572,Inesperado
104118,3,Lucas Arcanjo,Goleiro,3,0.0,3,4.5,4.5,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,5.0,3,1.8666666666666667,1.8666666666666667,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,2.2399999999999998,2.2399999999999998,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,2.036363636363636,2.036363636363636,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,2.2583333333333333,2.2583333333333333,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,2.1538461538461537,2.1538461538461537,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,2.0,2.0,Inesperado
73384,3,Samuel Xavier,Lateral,3,13.02,3,1.8666666666666667,1.8666666666666667,Inesperado
