ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2023,11,280,262,4,0
2023,12,266,265,2,1
2023,12,356,282,2,1
2023,12,283,276,1,0
2023,12,275,263,0,1
2023,12,284,264,5,1
2023,12,277,262,2,3
2023,13,276,266,1,0
2023,13,262,356,2,0
2023,13,265,284,1,2
2023,13,285,283,0,0
2023,13,264,280,0,1
2023,13,263,267,2,0
2023,14,267,283,0,1
2023,14,282,264,0,1
2023,14,275,262,1,1
2023,14,280,276,0,0
2023,14,266,285,2,0
2023,14,284,263,0,2
2023,15,263,280,2,0
2023,15,283,264,0,0
2023,15,266,262,0,0
2023,15,276,277,4,1
2023,15,285,275,0,0
2023,16,275,356,3,1
2023,16,265,264,0,0
2023,16,284,282,1,0
2023,16,280,285,0,0
2023,16,277,263,2,2
2023,16,264,266,2,0
2023,17,266,277,1,0
2023,17,356,280,0,3
2023,17,264,267,3,1
2023,17,282,262,1,2
2023,17,276,265,0,0
2023,17,263,264,4,1
2023,18,285,264,2,2
2023,18,266,275,2,1
2023,18,267,284,1,0
2023,18,276,282,0,2
2023,18,264,280,0,1
2023,18,283,263,0,0
2023,19,263,285,3,1
2023,19,282,265,1,0
2023,19,284,266,2,1
2023,19,264,264,3,1
2023,19,356,277,4,0
2023,19,262,276,1,1
2023,19,275,283,1,0
2023,19,280,267,1,1
2023,20,285,356,0,1
2023,20,276,263,0,0
2023,20,283,264,1,1
2023,20,267,282,1,0
2023,20,265,280,4,0
2023,20,277,284,2,1
2023,20,264,262,2,3
2023,21,262,285,0,0
2023,21,263,265,3,0
2023,21,282,277,2,0
2023,21,275,267,1,0
2023,21,356,264,3,1
2023,21,284,283,3,0
2023,22,263,262,1,2
2023,22,266,356,1,0
2023,22,264,275,0,0
2023,22,265,267,1,1
2023,22,283,280,0,0
2023,23,285,276,2,1
2023,23,277,283,0,3
2023,23,356,264,2,1
2023,23,264,265,2,4
2023,23,280,284,2,0
2023,23,267,266,4,2
2023,23,282,263,1,0
2023,15,264,284,4,4
2023,24,265,277,1,2
2023,24,266,283,1,0
2023,24,276,356,1,2
2023,24,267,264,5,1
2023,24,284,275,1,0
2023,24,264,263,1,0
2023,22,276,264,2,1
2023,25,262,265,1,0
2023,25,356,284,1,1
2023,25,276,264,2,1
2023,25,285,282,0,2
2023,25,277,267,4,1
2023,25,280,275,2,1
2023,26,267,276,0,0
2023,26,264,262,1,1
2023,26,285,284,3,2
2023,26,266,263,0,2
2023,26,275,277,1,2
2023,26,282,264,1,2
2023,27,267,356,1,0
2023,27,265,285,1,0
2023,27,283,262,0,2
2023,27,275,282,0,2
2023,27,277,280,1,3
2023,27,266,264,3,3
2023,28,276,284,3,0
2023,28,265,356,2,0
2023,28,282,283,0,1
2023,28,262,267,1,0
2023,28,285,277,7,1
2023,28,280,266,1,0
2023,28,264,275,0,2
2023,29,280,282,1,2
2023,29,275,276,5,0
2023,29,283,265,3,0
2023,29,284,262,3,2
2023,29,267,285,1,2
2023,29,277,264,2,1
2023,30,275,265,1,0
2023,30,282,266,2,0
2023,30,285,264,3,4
2023,30,264,277,1,1
2023,31,265,266,1,0
2023,31,262,277,1,2
2023,31,264,284,1,2
2023,31,282,356,3,1
2023,31,263,275,3,4
2023,31,276,283,1,0
